rank,gdp,rate,poplulation,city,province,province_rank
1,32679,6.6,2418,上海,,
2,30320,6.6,2171,北京,,
3,24691,7.5,1253,深圳,广东,1
4,23000,6.5,1450,广州,广东,2
5,20363,6,3372,重庆,,
6,18809,3.6,1557,天津,,
7,18597,7,1068,苏州,江苏,1
8,15342,8,1605,成都,四川,1
9,14847,8,1112,武汉,湖北,1
10,13500,7,949,杭州,浙江,1
11,12820,8,850,南京,江苏,2
12,12561,7.5,929,青岛,山东,1
13,11527,8.5,800,长沙,湖南,1
14,11438,7.4,655,无锡,江苏,3
15,10745,7,801,宁波,浙江,2
16,10550,6,846,佛山,广东,3
17,10200,8,1012,郑州,河南,1
18,8862,7.4,870,济南,山东,2
19,8467,8.9,865,泉州,福建,1
20,8427,7.2,731,南通,江苏,4
21,8349,8.2,1255,西安,陕西,1
22,8300,7.5,832,东莞,广东,4
23,8006,6.5,706,烟台,山东,3
24,7856,8.6,766,福州,福建,2
25,7825,7.1,702,大连,辽宁,1
26,7822,8.5,803,合肥,安徽,1
27,7159,7.2,1024,唐山,河北,1
28,7085,7,749,长春,吉林,1
29,7050,7,520,常州,江苏,5
30,7002,6.5,1093,哈尔滨,黑龙江,1
31,6963,7.2,1078,石家庄,河北,2
32,6805,7.5,936,潍坊,山东,4
33,6755,6,892,徐州,江苏,6
34,6350,5,829,沈阳,辽宁,2
35,6006,8,724,温州,浙江,3
37,5466,7.9,500,扬州,江苏,8
38,5416,6,501,绍兴,浙江,4
39,5350,10,726,昆明,云南,1
40,5292,6.5,470,淄博,山东,5
41,5274,8.8,546,南昌,江西,1
42,5107,8.2,508,泰州,江苏,9
43,4930,7,835,济宁,山东,6
44,4874,7.6,611,台州,浙江,5
45,4871,7.6,455,嘉兴,浙江,6
46,4791,7.6,401,厦门,福建,3
47,4750,7.5,1150,临沂,山东,7
48,4640,7.9,700,洛阳,河南,2
49,4507,7.5,209,东营,山东,8
50,4480,8.5,756,南宁,广西,1
51,4309,7.8,550,襄阳,湖北,2
52,4150,6.6,481,惠州,广东,5
53,4127,6.5,545,金华,浙江,7
54,4064,7.7,432,宜昌,湖北,3
55,4050,3,319,镇江,江苏,10
56,3949,8,282,威海,山东,9
57,3944,7.5,778,沧州,河北,3
58,3941,8.5,514,漳州,福建,4
59,3884,9.2,438,太原,山西,1
60,3848,8.2,340,榆林,陕西,2
61,3846,6.4,949,邯郸,河北,4
62,3800,10,486,贵阳,贵州,1
63,3763,7,201,鄂尔多斯,内蒙古,1
64,3759,7.4,356,中山,广东,6
65,3721,6.8,563,泰安,山东,10
66,3660,6.5,288,包头,内蒙古,2
67,3601,6.5,564,淮安,江苏,11
68,3489,8,573,岳阳,湖南,2
69,3400,7.5,1046,常德,湖南,3
71,3380,6.7,562,德州,山东,11
72,3348,6.2,605,聊城,山东,12
73,3288,8,734,衡阳,湖南,4
74,3279,8,370,芜湖,安徽,2
75,3202,8.8,843,菏泽,山东,13
76,3194,6.8,450,廊坊,河北,6
77,3184,8.7,352,乌鲁木齐,新疆,1
78,3176,7,1011,南阳,河南,3
79,3110,6,747,茂名,广东,7
80,3100,10,802,遵义,贵州,2
81,3012,6,830,湛江,广东,8
82,2989,7.2,441,吉林,吉林,2
83,2966,8,177,珠海,广东,9
84,2900,7.8,448,江门,广东,10
85,3083,7,431,柳州,广西,2
87,2831,8.9,974,赣州,江西,2
88,2800,3.5,293,大庆,黑龙江,2
89,2787,6.3,391,滨州,山东,14
90,2781,7.8,402,株洲,湖南,5
91,2771,7.2,452,连云港,江苏,12
92,2750,7.3,491,宿迁,江苏,13
93,2719,8.1,300,湖州,浙江,8
94,2700,8.5,487,九江,江西,3
95,2687,7.4,880,周口,河南,5
96,2582,5.2,401,兰州,甘肃,1
97,2526,7.1,614,新乡,河南,6
98,2508,3,311,呼和浩特,内蒙古,3
99,2427,8.2,473,郴州,湖南,6
100,2402,4.3,392,枣庄,山东,15
