rank,gdp,population,city,province,province_rank
1,38155,2424,上海,,
2,35371,2171,北京,,
3,26927,1302,深圳,广东,1.0
4,23628,1491,广州,广东,2.0
5,23605,3372,重庆,,
6,19235,1073,苏州,江苏,1.0
7,17012,1633,成都,四川,1.0
8,16900,1112,武汉,湖北,1.0
9,15373,1036,杭州,浙江,1.0
10,14104,1560,天津,,
11,14030,850,南京,江苏,2.0
12,12580,816,长沙,湖南,1.0
13,11985,821,宁波,浙江,2.0
14,11852,658,无锡,江苏,3.0
15,11741,940,青岛,山东,1.0
16,11380,1014,郑州,河南,1.0
17,10751,846,佛山,广东,3.0
18,9946,870,泉州,福建,1.0
19,9482,840,东莞,广东,4.0
20,9443,883,济南,山东,2.0
21,9409,809,合肥,安徽,1.0
22,9392,774,福州,福建,2.0
23,9383,731,南通,江苏,4.0
24,9321,1255,西安,陕西,1.0
25,7653,713,烟台,山东,3.0
26,7400,520,常州,江苏,5.0
27,7151,892,徐州,江苏,6.0
28,7001,596,大连,辽宁,1.0
29,6890,794,唐山,河北,1.0
30,6606,918,温州,浙江,3.0
31,6475,727,昆明,云南,1.0
32,6470,832,沈阳,辽宁,2.0
33,5995,411,厦门,福建,3.0
34,5904,800,长春,吉林,1.0
35,5850,500,扬州,江苏,7.0
36,5809,1096,石家庄,河北,2.0
37,5780,501,绍兴,浙江,4.0
38,5702,825,盐城,江苏,8.0
39,5688,937,潍坊,山东,4.0
40,5596,555,南昌,江西,1.0
41,5370,466,嘉兴,浙江,5.0
42,5249,952,哈尔滨,黑龙江,1.0
43,5134,612,台州,浙江,6.0
44,5133,506,泰州,江苏,9.0
45,5050,714,洛阳,河南,2.0
46,4812,605,襄阳,湖北,2.0
47,4741,510,漳州,福建,4.0
48,4600,1124,临沂,山东,5.0
49,4559,557,金华,浙江,7.0
50,4506,757,南宁,广西,1.0
51,4370,835,济宁,山东,6.0
52,4306,417,宜昌,湖北,3.0
53,4177,483,惠州,广东,5.0
54,4136,370,榆林,陕西,2.0
55,4127,320,镇江,江苏,10.0
56,4039,489,贵阳,贵州,1.0
57,4028,443,太原,山西,1.0
58,3902,953,邯郸,河北,3.0
59,3881,1170,保定,河北,4.0
60,3876,569,岳阳,湖南,2.0
61,3871,564,淮安,江苏,11.0
62,3776,1002,南阳,河南,3.0
63,3642,471,淄博,山东,7.0
64,3624,583,常德,湖南,3.0
65,3618,374,芜湖,安徽,2.0
66,3605,201,鄂尔多斯,内蒙古,1.0
67,3588,759,沧州,河北,5.0
68,3526,480,廊坊,河北,6.0
69,3493,351,乌鲁木齐,新疆,1.0
70,3483,806,遵义,贵州,2.0
71,3474,982,赣州,江西,2.0
72,3435,190,珠海,广东,6.0
73,3409,843,菏泽,山东,8.0
74,3252,803,茂名,广东,7.0
75,3205,721,衡阳,湖南,4.0
76,3146,460,江门,广东,8.0
77,3139,452,连云港,江苏,12.0
78,3128,405,柳州,广西,2.0
79,3122,300,湖州,浙江,8.0
80,3121,490,九江,江西,3.0
81,3119,444,许昌,河南,4.0
82,3101,331,中山,广东,9.0
83,3099,493,宿迁,江苏,13.0
84,3081,868,周口,河南,5.0
85,3065,734,湛江,广东,10.0
86,3022,581,德州,山东,9.0
87,3003,403,株洲,湖南,5.0
88,2963,283,威海,山东,10.0
89,2957,289,包头,内蒙古,2.0
90,2944,312,呼和浩特,内蒙古,3.0
91,2916,214,东营,山东,11.0
92,2909,411,滁州,安徽,3.0
93,2876,580,新乡,河南,6.0
94,2856,485,绵阳,四川,2.0
95,2842,517,安阳,河南,7.0
96,2837,402,兰州,甘肃,1.0
97,2705,821,阜阳,安徽,4.0
98,2702,732,商丘,河南,7.0
99,2698,647,信阳,河南,8.0
100,2695,703,驻马店,河南,9.0
